Country,Life_Exp,Mean_Years_School,Surface,Births_by_Professionals,Water_Productivity,Inflation,Mortality_Rate,GDP_Growth,Ease_Business,Out_Of_School_Primary,Master_DG_Over_25,Migrants,Forested,GDP_Per_Capita,Start_UP_Procedures,Broad_Band
Saint Kitts and Nevis,71.6822,8.662745,260,100,68.5851433,-2.30187563,16.9,3.322688015,54.63689,2.890170243,0.717149973,-16.11044709,42.30769231,0.154872474,0.277777778,0.751893833
Iran (Islamic Republic of),73.8749,10.63645314,1745150,99,4.309277121,12.48468156,15.5,3.351906529,58.54658,0.862251282,0.717149973,-0.590794221,6.12668252,0.083977414,0.444444444,0.151825363
Ukraine,71.624,11.13142043,603550,99.9,8.710904243,48.69986464,9.5,2.325017871,70.2106,2.484734758,0.717149973,0.301621052,16.00033137,0.085721437,0.166666667,0.248226846
North Macedonia,73.8415,10.22815037,25710,99.9,14.35792181,-0.299920476,11.4,2.935807691,80.74807,8.26423645,1.932790041,-0.428697608,38.67755737,0.103943757,0.222222222,0.304358219
China,78.2107,7.600118446,9600007.4,99.9,14.90706023,1.437023809,10.7,9.611912801,77.28424,4.584617615,1.932790041,-0.109901796,21.90563416,0.114803918,0.5,0.447941372
Dominican Republic,72.6146,9.306864107,48670,99.6,8.306170779,0.836746347,35,4.753633947,59.98867,6.598999023,1.932790041,-1.396786515,43.22272447,0.118124983,0.277777778,0.126827257
Moldova (Republic of),68.8459,11.82159042,33850,99.7,7.985433528,9.676240331,15.8,4.571337762,74.39091,2.489997864,1.500339985,-0.272734902,11.41506647,0.096808673,0.166666667,0.23764918
Cuba,73.6829,12.49773438,109880,99.9,12.0922159,10.2,5.7,4.539159636,0,4.772787535,1.500339985,-0.706870017,28.97706589,0.048919663,0.277777778,0
Peru,72.3769,9.885518863,1285220,91.6,11.43218898,3.398091947,15.7,5.170628417,68.69658,4.223899841,1.500339985,-1.872961445,56.95097337,0.078810892,0.333333333,0.123094888
Armenia,72.0431,11.33030033,29740,100,3.249039832,3.731691193,14.1,6.9375,74.49401,7.190666199,1.500339985,-1.02876291,11.0800269,0.085053967,0.111111111,0.193664846
Mexico,70.2127,9.221050262,1964375,97.7,13.15525806,2.72064065,16.2,2.171114326,72.35556,1.16947937,2.453609943,-0.324328113,33.76692841,0.117486334,0.277777778,0.226848291
Brazil,72.7504,8.128813955,8515770,98.2,25.83522005,9.029901024,15.9,2.957582254,59.08307,2.676109314,1.818096638,0.00744135,59.1707855,0.093349052,0.5,0.227981243
Colombia,72.8296,8.862859726,1141749,95.9,13.05591164,4.990234275,15.5,4.188066573,70.05964,6.921226501,3.870440006,-0.377210236,52.66889658,0.093448083,0.388888889,0.203467789
Maldives,79.9182,7.322,300,95.6,738.0576635,0.953206659,9.8,5.359478751,53.27453,4.445623781,3.870440006,10.73507229,2.733333333,0.100729304,0.222222222,0.157088661
Algeria,76.3767,8.069284397,2381741,96.6,19.23047657,4.784447007,25.2,3.69375,48.59758,4.121139526,3.870440006,-0.321108996,0.821247986,0.068915691,0.555555556,0.115252566
Azerbaijan,69.3658,10.5429697,86600,99.8,4.034182624,4.027685737,26.3,10.89914775,78.50823,5.034713745,3.870440006,0.083773508,12.4467321,0.092574613,0.055555556,0.262411042
Tonga,70.9857,11.392594,750,95.5,20.18054562,-1.05399832,12.4,1.3170371,61.38921,4.615195721,3.870440006,-12.16946581,11.93333333,0.041686047,0.111111111,0.06307457
Turkmenistan,69.2644,11.26139,488100,99.5,0.992461797,1.44,42.2,8.512873026,75,4.938376789,3.870440006,-0.817302184,8.455234583,0.084114334,0.333333333,1
Ecuador,73.67,8.817119598,256370,94.23076244,9.183990991,3.966646233,15.4,4.051017583,57.7227,1.916023254,1.624379992,-0.212432877,50.00265242,0.065571409,0.555555556,0.179205331
Mongolia,70.9754,9.423700333,1564120,98.9,19.21804913,5.726872247,19.4,7.377575868,67.77262,2.251716614,3.138050079,-0.12801559,9.064732885,0.067464609,0.333333333,0.124929358
Egypt,70.2207,9.573026174,1001450,91.5,4.15035731,10.37049034,23.3,4.276605203,60.05364,1.36100769,1.076879978,-0.269469124,0.048349893,0.075291314,0.388888889,0.121815911
Tunisia,73.7719,7.431598614,163610,73.6,12.9380447,4.437371273,17.2,3.444845504,68.65706,0.36592865,1.076879978,-1.256727261,4.248395575,0.065201192,0.5,0.150503653
Fiji,67.114,10.92154799,18270,99.9,47.71843491,1.374885426,24.4,2.066165657,61.47892,2.57470812,1.076879978,-5.753688951,60.57033388,0.063302233,0.5,0.034301417
Suriname,70.2743,9.77680063,163820,90,8.350281905,6.893903592,20.3,3.746783013,47.46427,2.234626853,2.133379936,-0.844882882,93.10017092,0.081728844,0.611111111,0.209716938
Uzbekistan,70.8616,11.89558983,448924,100,1.397354917,1.44,19.3,6.763899676,69.87898,1.784001864,2.133379936,-0.19037322,7.906460782,0.04917934,0.111111111,0.192017679
Dominica,72.814,8.142186,750,100,26.80271145,-0.843826985,31.1,1.680274188,60.54797,1.761998298,1.781213283,-11.95269634,63.82666667,0.073620747,0.166666667,0.296353921
Jordan,74.2563,10.44668007,89320,99.6,41.80047763,-0.87685136,17.5,5.042003452,68.97453,4.004920959,2.133379936,10.29074629,1.091580833,0.062916218,0.277777778,0.082398866
Libya,71.9112,7.599985,1759540,99.9,13.61110435,2.605818027,13.3,2.381643906,32.68552,2.121030791,2.015991052,-4.31127918,0.123327688,0.099959848,0.444444444,0.064422625
Paraguay,70.2617,8.861840248,406752,96.3,12.78194592,3.129002745,22.3,3.439435992,59.05401,10.80222321,6.643400192,-1.206846712,43.02115294,0.079518584,0.277777778,0.105127422
Guyana,65.6734,8.617477,214970,99.1,2.791444242,-1.001734328,33.1,2.460008874,55.49196,4.043162574,4.085660546,-4.428408928,85.87877378,0.148755516,0.277777778,0.161040423
South Africa,62.341,11.37316036,1219090,95.8,21.53658542,4.540642277,36.3,3.113998454,67.01897,8.446807861,2.183379889,1.531756206,14.13520741,0.083619172,0.277777778,0.029294347
Jamaica,70.5003,9.154628661,10990,94.3,9.318450798,3.691542289,15.5,0.691712126,69.67997,5.533824287,2.183379889,-1.905455661,52.54413103,0.055460675,0,0.173626592
Samoa,72.7675,11.4038,2840,99.7,20.18054562,0.724470135,18.6,2.829648546,62.07404,5.788641508,2.183379889,-6.090115117,57.77112676,0.031322601,0.111111111,0.011370165
Gabon,65.821,9.436,267670,82.5,90.32929172,-0.338795189,50.3,2.431563801,45.0251,8.733818054,2.183379889,4.402129339,88.13090746,0.086484109,0.388888889,0.026721971
Lebanon,75.0472,8.718636,10450,87.1,29.24307355,-3.749145248,8.3,4.346247216,54.3316,6.055175769,2.183379889,17.61452803,13.42870813,0.060192815,0.333333333,0.084403776
Indonesia,67.5703,8.556509972,1913580,98.2,3.791917,6.363121131,27.7,5.307457263,69.57879,6.433571676,0.618369997,-0.164439159,49.6597477,0.073473203,0.611111111,0.057141772
Viet Nam,73.6181,8.370280266,331230,87.4,2.431969076,0.631200905,21.8,6.484007425,69.76594,0.599121094,0.714969993,-0.407460295,42.45346134,0.048841112,0.388888889,0.228744508
Philippines,69.2664,8.969099998,300000,93.8,3.012760743,0.674192537,29.6,5.181979241,62.82943,5.524025398,0.579249978,-0.751591377,23.3805,0.056048999,0.833333333,0.096568667
Botswana,61.1409,10.34,581730,72.8,63.88703725,3.062031696,49.7,4.017064883,66.1978,7.169822693,0.579249978,-3.050925231,27.23978478,0.105864152,0.388888889,0.147146352
Bolivia (Plurinational State of),63.6304,9.827750206,1098580,99.7,13.38266805,4.059610411,31.3,4.276062094,51.65574,5.752589114,0.973389983,-0.486945928,47.35860839,0.050509985,0.666666667,0.106446937
Kyrgyzstan,69.9774,11.37410556,199949,88.8,0.722990071,6.50331839,22.3,4.485924927,67.82089,1.905563354,0.71062998,-1.394535568,6.260646465,0.026246214,0.111111111,0.059062204
Venezuela (Bolivarian Republic of),70.5536,11.10727736,912050,98.4,20.18054562,121.7380853,19.1,3.03588876,30.23634,4.564115555,0.754423314,-1.501622699,51.18469382,0.027920289,1,0.120108848
Tajikistan,71.5942,11.3333938,141380,70.4,0.637577359,5.714559496,37.5,7.801529164,61.26761,4.861442608,10.94874001,-1.404915574,2.983448861,0.026119166,0.111111111,0.000838781
Belize,70.4697,8.847599983,22970,98,15.84102497,1.44,15.3,3.979851232,55.47444,4.751012143,1.862650037,1.875455342,58.02481498,0.038175173,0.388888889,0.120715845
Morocco,74.0419,5.916,446550,93.5,8.529493894,1.557907113,23.5,4.468127742,73.38133,5.422889709,1.862650037,-0.983023414,12.73024297,0.044976908,0.166666667,0.075946974
El Salvador,70.7479,7.150929928,21040,73.6,10.39320013,-0.731384487,15.5,1.879415829,65.25247,4.292927151,0.263790011,-3.688195137,28.82034221,0.051772671,0.388888889,0.120460783
Nicaragua,73.8368,7.144,130370,99.9,7.174109615,3.997379967,19.4,3.814557222,54.38673,1.589729309,0.263790011,-2.01450858,29.9726164,0.033491285,0.277777778,0.058439356
Bhutan,71.815,5.170262283,38394,94,5.14746441,4.548143951,33.1,7.519349962,65.97305,4.195090076,0.263790011,0.03846647,70.71886232,0.059588495,0.333333333,0.00551057
Bangladesh,72.3811,7.379059792,147630,91.4,4.539381135,6.19428023,38.1,5.793318848,45.04865,4.850776672,5.748370171,-1.387125997,12.7575696,0.032446172,0.388888889,0.081388116
India,67.2398,6.655109195,3287260,90.1,2.632580326,4.906973441,43.5,6.489605764,71.04511,2.269973755,3.025324517,-0.168656507,21.54621174,0.040097721,0.666666667,0.022173843
Ghana,63.7954,8.329886695,238540,81.4,33.3195206,17.1499695,54.6,6.073135679,59.96017,3.909683014,0.843659997,-0.15756901,33.0361365,0.03431067,0.333333333,0.003362883
